run_id,scene,truth,prediction,count
V2_EG_HIGH_ADV0_seed392005,clean,0,0,4430
V2_EG_HIGH_ADV0_seed392005,clean,0,1,6
V2_EG_HIGH_ADV0_seed392005,clean,0,2,5
V2_EG_HIGH_ADV0_seed392005,clean,0,3,4
V2_EG_HIGH_ADV0_seed392005,clean,0,4,43
V2_EG_HIGH_ADV0_seed392005,clean,0,5,12
V2_EG_HIGH_ADV0_seed392005,clean,1,0,9
V2_EG_HIGH_ADV0_seed392005,clean,1,1,4393
V2_EG_HIGH_ADV0_seed392005,clean,1,2,15
V2_EG_HIGH_ADV0_seed392005,clean,1,3,44
V2_EG_HIGH_ADV0_seed392005,clean,1,4,27
V2_EG_HIGH_ADV0_seed392005,clean,1,5,12
V2_EG_HIGH_ADV0_seed392005,clean,2,0,5
V2_EG_HIGH_ADV0_seed392005,clean,2,1,2
V2_EG_HIGH_ADV0_seed392005,clean,2,2,4446
V2_EG_HIGH_ADV0_seed392005,clean,2,3,2
V2_EG_HIGH_ADV0_seed392005,clean,2,4,18
V2_EG_HIGH_ADV0_seed392005,clean,2,5,27
V2_EG_HIGH_ADV0_seed392005,clean,3,0,9
V2_EG_HIGH_ADV0_seed392005,clean,3,1,67
V2_EG_HIGH_ADV0_seed392005,clean,3,2,13
V2_EG_HIGH_ADV0_seed392005,clean,3,3,4374
V2_EG_HIGH_ADV0_seed392005,clean,3,4,28
V2_EG_HIGH_ADV0_seed392005,clean,3,5,9
V2_EG_HIGH_ADV0_seed392005,clean,4,0,14
V2_EG_HIGH_ADV0_seed392005,clean,4,1,2
V2_EG_HIGH_ADV0_seed392005,clean,4,2,4
V2_EG_HIGH_ADV0_seed392005,clean,4,3,2
V2_EG_HIGH_ADV0_seed392005,clean,4,4,4468
V2_EG_HIGH_ADV0_seed392005,clean,4,5,10
V2_EG_HIGH_ADV0_seed392005,clean,5,0,2
V2_EG_HIGH_ADV0_seed392005,clean,5,1,2
V2_EG_HIGH_ADV0_seed392005,clean,5,2,9
V2_EG_HIGH_ADV0_seed392005,clean,5,3,2
V2_EG_HIGH_ADV0_seed392005,clean,5,4,19
V2_EG_HIGH_ADV0_seed392005,clean,5,5,4466
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,0,3884
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,1,233
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,2,8
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,3,287
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,4,64
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,5,24
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,0,54
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,1,3907
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,2,13
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,3,393
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,4,101
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,5,32
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,0,6
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,1,28
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,2,4360
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,3,12
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,4,53
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,5,41
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,0,49
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,1,321
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,2,9
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,3,3998
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,4,110
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,5,13
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,0,15
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,1,3
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,2,3
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,3,8
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,4,4452
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,5,19
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,0,2
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,1,1
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,2,7
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,3,3
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,4,23
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,5,4464
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,0,3621
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,1,319
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,2,17
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,3,400
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,4,103
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,5,40
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,0,79
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,1,3643
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,2,22
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,3,499
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,4,201
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,5,56
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,0,11
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,1,31
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,2,4279
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,3,27
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,4,57
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,5,95
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,0,117
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,1,415
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,2,28
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,3,3719
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,4,200
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,3,5,21
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,0,19
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,1,5
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,2,9
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,3,13
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,4,4443
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,4,5,11
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,0,3
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,1,6
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,2,13
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,3,1
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,4,27
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,5,5,4450
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,0,3692
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,1,332
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,2,12
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,3,342
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,4,95
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,0,5,27
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,0,97
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,1,3602
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,2,26
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,3,518
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,4,216
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,1,5,41
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,0,7
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,1,27
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,2,4281
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,3,27
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,4,64
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,2,5,94
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,3,0,118
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,3,1,443
V2_EG_HIGH_ADV0_seed392005,leo_rain_weak,3,2,24
