accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,clean,5,0,14-10,-0.4570128619670868
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,clean,6,0,14-10,-0.5490189790725708
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,clean,7,0,14-10,-0.548661470413208
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,clean,8,0,14-10,-0.6082895398139954
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,clean,9,0,14-10,-0.5366024374961853
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,clean,10,0,14-10,-0.623858630657196
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,clean,11,0,14-10,-0.43781015276908875
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,clean,12,0,14-10,-0.4038366377353668
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,clean,13,0,14-10,-0.5923263430595398
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,clean,14,0,14-10,-0.4845315217971802
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,clean,15,0,14-10,-0.6041024923324585
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,clean,16,0,14-10,-0.4889069199562073
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,clean,17,0,14-10,-0.37857988476753235
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,clean,18,0,14-10,-0.38228839635849
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,clean,19,0,14-10,-0.6343379020690918
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,clean,20,0,14-10,-0.4481102228164673
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,clean,21,0,14-10,-0.42296451330184937
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,clean,22,0,14-10,-0.549723744392395
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,clean,23,0,14-10,-0.5281150937080383
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,clean,24,0,14-10,-0.42143914103507996
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,clean,5,1,14-7,-0.4126080870628357
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,clean,6,1,14-7,-0.3787440359592438
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,clean,7,1,14-7,-0.5131101012229919
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,clean,8,1,14-7,-0.4149479568004608
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,clean,9,1,14-7,-0.4474599063396454
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,clean,10,1,14-7,-0.3481280505657196
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,clean,11,1,14-7,-0.5447272062301636
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,clean,12,1,14-7,-0.4682679772377014
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,clean,13,1,14-7,-0.40987882018089294
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,clean,14,1,14-7,-0.40728092193603516
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,clean,15,1,14-7,-0.4622822105884552
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,clean,16,1,14-7,-0.4297983944416046
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,clean,17,1,14-7,-0.4877152144908905
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,clean,18,1,14-7,-0.49129921197891235
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,clean,19,1,14-7,-0.5034173727035522
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,clean,20,1,14-7,-0.5303788781166077
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,clean,21,1,14-7,-0.39263299107551575
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,clean,22,1,14-7,-0.4488673806190491
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig23,clean,23,1,14-7,-0.544837474822998
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig24,clean,24,1,14-7,-0.4115903973579407
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig5,clean,5,2,20-15,-0.9543759822845459
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig6,clean,6,2,20-15,-0.38684889674186707
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig7,clean,7,2,20-15,-0.34453362226486206
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig8,clean,8,2,20-15,-0.43150466680526733
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig9,clean,9,2,20-15,-0.29904308915138245
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig10,clean,10,2,20-15,-0.3791676163673401
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig11,clean,11,2,20-15,-0.3575148284435272
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig12,clean,12,2,20-15,-0.29876601696014404
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig13,clean,13,2,20-15,-0.34043088555336
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig14,clean,14,2,20-15,-0.4057254493236542
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig15,clean,15,2,20-15,-0.34687328338623047
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig16,clean,16,2,20-15,-0.3839220404624939
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig17,clean,17,2,20-15,-0.4025629460811615
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig18,clean,18,2,20-15,-0.32786500453948975
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig19,clean,19,2,20-15,-0.35032355785369873
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig20,clean,20,2,20-15,-0.34070223569869995
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig21,clean,21,2,20-15,-0.41873395442962646
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig22,clean,22,2,20-15,-0.9027320742607117
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-15|20-1|day0|eq1|sig23,clean,23,2,20-15,-0.306779682636261
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig24,clean,24,2,20-15,-0.3839888572692871
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig5,clean,5,3,20-19,-0.405734658241272
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig6,clean,6,3,20-19,-0.38841935992240906
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig7,clean,7,3,20-19,-0.4215521514415741
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-19|20-1|day0|eq1|sig8,clean,8,3,20-19,-0.8040009140968323
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig9,clean,9,3,20-19,-0.5495654940605164
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig10,clean,10,3,20-19,-0.39806362986564636
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig11,clean,11,3,20-19,-0.4015458822250366
