accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,leo_clear_weak,5,0,14-10,-0.4169028103351593
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,leo_clear_weak,6,0,14-10,-0.5336506962776184
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,leo_clear_weak,7,0,14-10,-0.6333169341087341
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,leo_clear_weak,8,0,14-10,-0.2770281732082367
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,leo_clear_weak,9,0,14-10,-0.26120269298553467
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,leo_clear_weak,10,0,14-10,-0.5401568412780762
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,leo_clear_weak,11,0,14-10,-0.3150729835033417
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,leo_clear_weak,12,0,14-10,-0.4693949520587921
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,leo_clear_weak,13,0,14-10,-0.48730915784835815
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,leo_clear_weak,14,0,14-10,-0.4457150101661682
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,leo_clear_weak,15,0,14-10,-0.43284890055656433
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,leo_clear_weak,16,0,14-10,-0.42669373750686646
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,leo_clear_weak,17,0,14-10,-0.42624199390411377
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,leo_clear_weak,18,0,14-10,-0.7468685507774353
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,leo_clear_weak,19,0,14-10,-0.3319393992424011
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,leo_clear_weak,20,0,14-10,-0.23953582346439362
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,leo_clear_weak,21,0,14-10,-0.5514892339706421
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,leo_clear_weak,22,0,14-10,-0.27576902508735657
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,leo_clear_weak,23,0,14-10,-0.479987770318985
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,leo_clear_weak,24,0,14-10,-0.4392680525779724
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,leo_clear_weak,5,1,14-7,-0.4700636863708496
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig6,leo_clear_weak,6,1,14-7,-0.49112963676452637
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig7,leo_clear_weak,7,1,14-7,-0.7198811769485474
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig8,leo_clear_weak,8,1,14-7,-0.5793048739433289
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig9,leo_clear_weak,9,1,14-7,-0.45037755370140076
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-7|20-1|day0|eq1|sig10,leo_clear_weak,10,1,14-7,-0.4036480486392975
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,14-7|20-1|day0|eq1|sig11,leo_clear_weak,11,1,14-7,-0.33735665678977966
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig12,leo_clear_weak,12,1,14-7,-0.6367290616035461
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,14-7|20-1|day0|eq1|sig13,leo_clear_weak,13,1,14-7,-0.22900307178497314
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig14,leo_clear_weak,14,1,14-7,-0.6605225205421448
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig15,leo_clear_weak,15,1,14-7,-0.6334473490715027
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig16,leo_clear_weak,16,1,14-7,-0.3072192668914795
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-7|20-1|day0|eq1|sig17,leo_clear_weak,17,1,14-7,-0.41080349683761597
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig18,leo_clear_weak,18,1,14-7,-0.4865017831325531
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig19,leo_clear_weak,19,1,14-7,-0.5068516135215759
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,14-7|20-1|day0|eq1|sig20,leo_clear_weak,20,1,14-7,-0.38342541456222534
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-7|20-1|day0|eq1|sig21,leo_clear_weak,21,1,14-7,-0.42910096049308777
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-7|20-1|day0|eq1|sig22,leo_clear_weak,22,1,14-7,-0.5231246948242188
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig23,leo_clear_weak,23,1,14-7,-0.45120668411254883
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-7|20-1|day0|eq1|sig24,leo_clear_weak,24,1,14-7,-0.4184493124485016
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-15|20-1|day0|eq1|sig5,leo_clear_weak,5,2,20-15,-0.7168722152709961
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig6,leo_clear_weak,6,2,20-15,-0.5392919182777405
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig7,leo_clear_weak,7,2,20-15,-0.2760920822620392
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-15|20-1|day0|eq1|sig8,leo_clear_weak,8,2,20-15,-0.5356327891349792
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,20-15|20-1|day0|eq1|sig9,leo_clear_weak,9,2,20-15,-0.7005640864372253
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig10,leo_clear_weak,10,2,20-15,-0.5877745747566223
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig11,leo_clear_weak,11,2,20-15,-0.6107702255249023
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig12,leo_clear_weak,12,2,20-15,-0.5064234733581543
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig13,leo_clear_weak,13,2,20-15,-0.5147309303283691
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig14,leo_clear_weak,14,2,20-15,-0.7346126437187195
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig15,leo_clear_weak,15,2,20-15,-0.3321862518787384
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig16,leo_clear_weak,16,2,20-15,-0.3029484748840332
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,20-15|20-1|day0|eq1|sig17,leo_clear_weak,17,2,20-15,-0.3332226574420929
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-15|20-1|day0|eq1|sig18,leo_clear_weak,18,2,20-15,-0.6819020509719849
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-15|20-1|day0|eq1|sig19,leo_clear_weak,19,2,20-15,-0.43534016609191895
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-15|20-1|day0|eq1|sig20,leo_clear_weak,20,2,20-15,-0.42104852199554443
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-15|20-1|day0|eq1|sig21,leo_clear_weak,21,2,20-15,-0.7132261395454407
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-15|20-1|day0|eq1|sig22,leo_clear_weak,22,2,20-15,-0.2894632816314697
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-15|20-1|day0|eq1|sig23,leo_clear_weak,23,2,20-15,-0.3504018783569336
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-15|20-1|day0|eq1|sig24,leo_clear_weak,24,2,20-15,-0.4467540681362152
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig5,leo_clear_weak,5,3,20-19,-0.6562687158584595
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,20-19|20-1|day0|eq1|sig6,leo_clear_weak,6,3,20-19,-0.3648500442504883
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig7,leo_clear_weak,7,3,20-19,-0.6069587469100952
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-19|20-1|day0|eq1|sig8,leo_clear_weak,8,3,20-19,-0.29546302556991577
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig9,leo_clear_weak,9,3,20-19,-0.6672506332397461
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-19|20-1|day0|eq1|sig10,leo_clear_weak,10,3,20-19,-0.2488456517457962
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig11,leo_clear_weak,11,3,20-19,-0.5175498127937317
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-19|20-1|day0|eq1|sig12,leo_clear_weak,12,3,20-19,-0.3809208571910858
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig13,leo_clear_weak,13,3,20-19,-0.3717469274997711
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-19|20-1|day0|eq1|sig14,leo_clear_weak,14,3,20-19,-0.3532071113586426
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig15,leo_clear_weak,15,3,20-19,-0.38557782769203186
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig16,leo_clear_weak,16,3,20-19,-0.4835236966609955
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-19|20-1|day0|eq1|sig17,leo_clear_weak,17,3,20-19,-0.3763340413570404
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,20-19|20-1|day0|eq1|sig18,leo_clear_weak,18,3,20-19,-0.41243305802345276
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,20-19|20-1|day0|eq1|sig19,leo_clear_weak,19,3,20-19,-0.24905864894390106
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,20-19|20-1|day0|eq1|sig20,leo_clear_weak,20,3,20-19,-0.6425206065177917
True,support_head_finetune,0,support_head_confidence_quantile,4,target_old_query,20-1,20-19|20-1|day0|eq1|sig21,leo_clear_weak,21,3,20-19,-0.4648144543170929
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,20-19|20-1|day0|eq1|sig22,leo_clear_weak,22,3,20-19,-0.5303640961647034
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,20-19|20-1|day0|eq1|sig23,leo_clear_weak,23,3,20-19,-0.32061702013015747
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,20-19|20-1|day0|eq1|sig24,leo_clear_weak,24,3,20-19,-0.3886987566947937
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,6-15|20-1|day0|eq1|sig5,leo_clear_weak,5,4,6-15,-0.40028300881385803
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,6-15|20-1|day0|eq1|sig6,leo_clear_weak,6,4,6-15,-0.2617768347263336
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,6-15|20-1|day0|eq1|sig7,leo_clear_weak,7,4,6-15,-0.48150303959846497
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig8,leo_clear_weak,8,4,6-15,-0.44532763957977295
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig9,leo_clear_weak,9,4,6-15,-0.651782214641571
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,6-15|20-1|day0|eq1|sig10,leo_clear_weak,10,4,6-15,-0.5096574425697327
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,6-15|20-1|day0|eq1|sig11,leo_clear_weak,11,4,6-15,-0.2169567346572876
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,6-15|20-1|day0|eq1|sig12,leo_clear_weak,12,4,6-15,-0.5635475516319275
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig13,leo_clear_weak,13,4,6-15,-0.42289549112319946
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,6-15|20-1|day0|eq1|sig14,leo_clear_weak,14,4,6-15,-0.29298698902130127
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,6-15|20-1|day0|eq1|sig15,leo_clear_weak,15,4,6-15,-0.4911932945251465
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig16,leo_clear_weak,16,4,6-15,-0.8053306937217712
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig17,leo_clear_weak,17,4,6-15,-0.33181941509246826
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,6-15|20-1|day0|eq1|sig18,leo_clear_weak,18,4,6-15,-0.6785004734992981
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,6-15|20-1|day0|eq1|sig19,leo_clear_weak,19,4,6-15,-0.49626967310905457
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,6-15|20-1|day0|eq1|sig20,leo_clear_weak,20,4,6-15,-0.3705870509147644
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,6-15|20-1|day0|eq1|sig21,leo_clear_weak,21,4,6-15,-0.37779733538627625
False,support_head_finetune,0,support_head_confidence_quantile,-1,target_old_query,20-1,6-15|20-1|day0|eq1|sig22,leo_clear_weak,22,4,6-15,-0.23567888140678406
True,support_head_finetune,0,support_head_confidence_quantile,2,target_old_query,20-1,6-15|20-1|day0|eq1|sig23,leo_clear_weak,23,4,6-15,-0.6538448333740234
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,6-15|20-1|day0|eq1|sig24,leo_clear_weak,24,4,6-15,-0.5962803363800049
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,8-20|20-1|day0|eq1|sig5,leo_clear_weak,5,5,8-20,-0.4145253598690033
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,8-20|20-1|day0|eq1|sig6,leo_clear_weak,6,5,8-20,-0.6639000177383423
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,8-20|20-1|day0|eq1|sig7,leo_clear_weak,7,5,8-20,-0.31725773215293884
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,8-20|20-1|day0|eq1|sig8,leo_clear_weak,8,5,8-20,-0.5598000288009644
