variant,scene,category,group,correct,total,accuracy_percent,version,incorrect
U0,clean,aggregate,all,153055,198000,77.30050505050505,V1,44945
U0,clean,named,test_unseen_day_seen_rx,27505,30000,91.68333333333334,V1,2495
U0,clean,named,test_day_0,27505,30000,91.68333333333334,V1,2495
U0,clean,named,test_seen_day_unseen_rx,94461,126000,74.96904761904761,V1,31539
U0,clean,named,test_rx_0,15284,18000,84.91111111111111,V1,2716
U0,clean,named,test_rx_2,10048,18000,55.82222222222222,V1,7952
U0,clean,named,test_rx_5,15502,18000,86.12222222222222,V1,2498
U0,clean,named,test_rx_7,10375,18000,57.638888888888886,V1,7625
U0,clean,named,test_rx_9,14708,18000,81.71111111111111,V1,3292
U0,clean,named,test_rx_10,14548,18000,80.82222222222222,V1,3452
U0,clean,named,test_rx_11,13996,18000,77.75555555555556,V1,4004
U0,clean,named,test_unseen_day_unseen_rx,31089,42000,74.02142857142857,V1,10911
U0,clean,named,test_unseen_day_rx_0,3977,6000,66.28333333333333,V1,2023
U0,clean,named,test_unseen_day_rx_2,3653,6000,60.88333333333333,V1,2347
U0,clean,named,test_unseen_day_rx_5,5081,6000,84.68333333333334,V1,919
U0,clean,named,test_unseen_day_rx_7,5248,6000,87.46666666666667,V1,752
U0,clean,named,test_unseen_day_rx_9,3587,6000,59.78333333333333,V1,2413
U0,clean,named,test_unseen_day_rx_10,4815,6000,80.25,V1,1185
U0,clean,named,test_unseen_day_rx_11,4728,6000,78.8,V1,1272
U0,clean,receiver_all_days,0,19261,24000,80.25416666666666,V1,4739
U0,clean,receiver_all_days,1,4426,6000,73.76666666666667,V1,1574
U0,clean,receiver_all_days,2,13701,24000,57.0875,V1,10299
U0,clean,receiver_all_days,3,5697,6000,94.95,V1,303
U0,clean,receiver_all_days,4,5866,6000,97.76666666666667,V1,134
U0,clean,receiver_all_days,5,20583,24000,85.7625,V1,3417
U0,clean,receiver_all_days,6,5895,6000,98.25,V1,105
U0,clean,receiver_all_days,7,15623,24000,65.09583333333333,V1,8377
U0,clean,receiver_all_days,8,5621,6000,93.68333333333334,V1,379
U0,clean,receiver_all_days,9,18295,24000,76.22916666666667,V1,5705
U0,clean,receiver_all_days,10,19363,24000,80.67916666666666,V1,4637
U0,clean,receiver_all_days,11,18724,24000,78.01666666666667,V1,5276
U0,clean,class,0,29762,33000,90.18787878787879,V1,3238
U0,clean,class,1,16857,33000,51.08181818181818,V1,16143
U0,clean,class,2,20614,33000,62.46666666666667,V1,12386
U0,clean,class,3,22676,33000,68.71515151515152,V1,10324
U0,clean,class,4,32894,33000,99.67878787878787,V1,106
U0,clean,class,5,30252,33000,91.67272727272727,V1,2748
U0,leo_clear_weak,aggregate,all,124430,198000,62.843434343434346,V1,73570
U0,leo_clear_weak,named,test_unseen_day_seen_rx,23381,30000,77.93666666666667,V1,6619
U0,leo_clear_weak,named,test_day_0,23381,30000,77.93666666666667,V1,6619
U0,leo_clear_weak,named,test_seen_day_unseen_rx,76130,126000,60.42063492063492,V1,49870
U0,leo_clear_weak,named,test_rx_0,12627,18000,70.15,V1,5373
U0,leo_clear_weak,named,test_rx_2,7078,18000,39.32222222222222,V1,10922
U0,leo_clear_weak,named,test_rx_5,13488,18000,74.93333333333334,V1,4512
