run_id,scene,truth,prediction,count
V2_EG_HIGH_ADV0_seed392005,clean,0,0,25816
V2_EG_HIGH_ADV0_seed392005,clean,0,1,240
V2_EG_HIGH_ADV0_seed392005,clean,0,2,202
V2_EG_HIGH_ADV0_seed392005,clean,0,3,1698
V2_EG_HIGH_ADV0_seed392005,clean,0,4,26
V2_EG_HIGH_ADV0_seed392005,clean,0,5,18
V2_EG_HIGH_ADV0_seed392005,clean,1,0,374
V2_EG_HIGH_ADV0_seed392005,clean,1,1,11740
V2_EG_HIGH_ADV0_seed392005,clean,1,2,26
V2_EG_HIGH_ADV0_seed392005,clean,1,3,15686
V2_EG_HIGH_ADV0_seed392005,clean,1,4,158
V2_EG_HIGH_ADV0_seed392005,clean,1,5,16
V2_EG_HIGH_ADV0_seed392005,clean,2,0,721
V2_EG_HIGH_ADV0_seed392005,clean,2,1,1307
V2_EG_HIGH_ADV0_seed392005,clean,2,2,17887
V2_EG_HIGH_ADV0_seed392005,clean,2,3,1503
V2_EG_HIGH_ADV0_seed392005,clean,2,4,250
V2_EG_HIGH_ADV0_seed392005,clean,2,5,6332
V2_EG_HIGH_ADV0_seed392005,clean,3,0,2074
V2_EG_HIGH_ADV0_seed392005,clean,3,1,6496
V2_EG_HIGH_ADV0_seed392005,clean,3,2,493
V2_EG_HIGH_ADV0_seed392005,clean,3,3,18717
V2_EG_HIGH_ADV0_seed392005,clean,3,4,46
V2_EG_HIGH_ADV0_seed392005,clean,3,5,174
V2_EG_HIGH_ADV0_seed392005,clean,4,0,4
V2_EG_HIGH_ADV0_seed392005,clean,4,1,137
V2_EG_HIGH_ADV0_seed392005,clean,4,2,13
V2_EG_HIGH_ADV0_seed392005,clean,4,3,18
V2_EG_HIGH_ADV0_seed392005,clean,4,4,27815
V2_EG_HIGH_ADV0_seed392005,clean,4,5,13
V2_EG_HIGH_ADV0_seed392005,clean,5,0,17
V2_EG_HIGH_ADV0_seed392005,clean,5,1,77
V2_EG_HIGH_ADV0_seed392005,clean,5,2,51
V2_EG_HIGH_ADV0_seed392005,clean,5,3,13
V2_EG_HIGH_ADV0_seed392005,clean,5,4,2502
V2_EG_HIGH_ADV0_seed392005,clean,5,5,25340
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,0,17976
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,1,2152
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,2,263
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,3,7465
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,4,115
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,0,5,29
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,0,637
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,1,8102
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,2,53
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,3,18579
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,4,594
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,1,5,35
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,0,1069
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,1,2468
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,2,13371
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,3,2560
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,4,2664
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,2,5,5868
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,0,2411
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,1,6244
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,2,776
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,3,18128
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,4,205
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,3,5,236
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,0,29
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,1,889
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,2,156
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,3,800
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,4,26096
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,4,5,30
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,0,26
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,1,212
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,2,107
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,3,8
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,4,3013
V2_EG_HIGH_ADV0_seed392005,leo_clear_weak,5,5,24634
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,0,16750
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,1,2505
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,2,342
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,3,8011
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,4,354
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,0,5,38
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,0,854
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,1,8048
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,2,96
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,3,17802
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,4,1159
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,1,5,41
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,0,1259
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,1,2626
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,2,12593
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,3,2418
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,4,3087
V2_EG_HIGH_ADV0_seed392005,leo_low_elev_weak,2,5,6017
